name,country,networks,relationship,source_type,source_urls,program_families,application_management,status,student_visible_label
NAIT,Canada,APPLYBOARD,INDIRECT_RECRUITMENT_PARTNER,PUBLIC_WEB,https://www.applyboard.com/institution,,true,ACTIVE,SOUP Application Network
Niagara College - Toronto,Canada,GUS|ABN_GLOBAL,USER_CONFIRMED_NETWORK_ACCESS,USER_MASTERLIST,file-library:Masterlist Universities.docx,,true,ACTIVE,SOUP Application Network
Thompson Rivers University,Canada,APPLYBOARD,INDIRECT_RECRUITMENT_PARTNER,PUBLIC_WEB,https://www.applyboard.com/institution,,true,ACTIVE,SOUP Application Network
Toronto Metropolitan University International College,Canada,GUS|ABN_GLOBAL,USER_CONFIRMED_NETWORK_ACCESS,USER_MASTERLIST,file-library:Masterlist Universities.docx,,true,ACTIVE,SOUP Application Network
Toronto School of Management,Canada,GUS|ABN_GLOBAL,USER_CONFIRMED_NETWORK_ACCESS,USER_MASTERLIST,file-library:Masterlist Universities.docx,,true,ACTIVE,SOUP Application Network
Trebas Institute,Canada,GUS|ABN_GLOBAL,USER_CONFIRMED_NETWORK_ACCESS,USER_MASTERLIST,file-library:Masterlist Universities.docx,,true,ACTIVE,SOUP Application Network
University Canada West,Canada,GUS|ABN_GLOBAL,USER_CONFIRMED_NETWORK_ACCESS,USER_MASTERLIST,file-library:Masterlist Universities.docx,,true,ACTIVE,SOUP Application Network
University of Manitoba,Canada,APPLYBOARD,INDIRECT_RECRUITMENT_PARTNER,PUBLIC_WEB,https://www.applyboard.com/institution,,true,ACTIVE,SOUP Application Network
University of Niagara Falls Canada,Canada,GUS|ABN_GLOBAL,USER_CONFIRMED_NETWORK_ACCESS,USER_MASTERLIST,file-library:Masterlist Universities.docx,,true,ACTIVE,SOUP Application Network
Western University,Canada,APPLYBOARD,INDIRECT_RECRUITMENT_PARTNER,PUBLIC_WEB,https://www.applyboard.com/institution,,true,ACTIVE,SOUP Application Network
Wilfrid Laurier International College,Canada,GUS|ABN_GLOBAL,USER_CONFIRMED_NETWORK_ACCESS,USER_MASTERLIST,file-library:Masterlist Universities.docx,,true,ACTIVE,SOUP Application Network
Medical University of the Americas,Caribbean,GUS,USER_CONFIRMED_NETWORK_ACCESS,USER_MASTERLIST,file-library:Masterlist Universities.docx,,true,ACTIVE,SOUP Application Network
Saba University School of Medicine,Caribbean,GUS,USER_CONFIRMED_NETWORK_ACCESS,USER_MASTERLIST,file-library:Masterlist Universities.docx,,true,ACTIVE,SOUP Application Network
St. Matthew’s University School of Medicine,Caribbean,GUS,USER_CONFIRMED_NETWORK_ACCESS,USER_MASTERLIST,file-library:Masterlist Universities.docx,,true,ACTIVE,SOUP Application Network
Algebra University College,Croatia,DIRECT_SOUP,USER_CONFIRMED_NETWORK_ACCESS,USER_MASTERLIST,file-library:Masterlist Universities.docx,,true,ACTIVE,SOUP Application Network
Cyprus International University,Cyprus,ABN_GLOBAL,USER_CONFIRMED_NETWORK_ACCESS,USER_MASTERLIST,file-library:Masterlist Universities.docx,,true,ACTIVE,SOUP Application Network
University of Nicosia,Cyprus,ABN_GLOBAL,USER_CONFIRMED_NETWORK_ACCESS,USER_MASTERLIST,file-library:Masterlist Universities.docx,,true,ACTIVE,SOUP Application Network
ESDES Business School,France,USER_CONFIRMED_PARTNER,USER_CONFIRMED_PARTNER,USER_OR_LEGACY,conversation:user-confirmed,,true,ACTIVE,SOUP Application Network
KEDGE Business School,France,DIRECT_SOUP,USER_CONFIRMED_NETWORK_ACCESS,USER_MASTERLIST,file-library:Masterlist Universities.docx,,true,ACTIVE,SOUP Application Network
Paris School of Business,France,LEGACY_CATALOG,LEGACY_NEEDS_CONFIRMATION,USER_OR_LEGACY,internal:replit-partnered-university-programs.csv,,false,PAUSED,Catalog - verification required
Arden University Berlin,Germany,ABN_GLOBAL,USER_CONFIRMED_NETWORK_ACCESS,USER_MASTERLIST,file-library:Masterlist Universities.docx,,true,ACTIVE,SOUP Application Network
Berlin School of Business and Innovation,Germany,GUS,USER_CONFIRMED_NETWORK_ACCESS,USER_MASTERLIST,file-library:Masterlist Universities.docx,,true,ACTIVE,SOUP Application Network
GISMA University of Applied Sciences,Germany,GUS,USER_CONFIRMED_NETWORK_ACCESS,USER_MASTERLIST,file-library:Masterlist Universities.docx,,true,ACTIVE,SOUP Application Network
Hochschule Fresenius,Germany,APPLYBOARD,INDIRECT_RECRUITMENT_PARTNER,PUBLIC_WEB,https://www.applyboard.com/institution,,true,ACTIVE,SOUP Application Network
IU International University of Applied Sciences,Germany,ABN_GLOBAL,USER_CONFIRMED_NETWORK_ACCESS,USER_MASTERLIST,file-library:Masterlist Universities.docx,,true,ACTIVE,SOUP Application Network
Mediadesign Hochschule,Germany,APPLYBOARD,INDIRECT_RECRUITMENT_PARTNER,PUBLIC_WEB,https://www.applyboard.com/institution,,true,ACTIVE,SOUP Application Network
New European College,Germany,DIRECT_SOUP,USER_CONFIRMED_NETWORK_ACCESS,USER_MASTERLIST,file-library:Masterlist Universities.docx,,true,ACTIVE,SOUP Application Network
SRH University Berlin,Germany,ABN_GLOBAL,USER_CONFIRMED_NETWORK_ACCESS,USER_MASTERLIST,file-library:Masterlist Universities.docx,,true,ACTIVE,SOUP Application Network
Steinbeis School of Management and Innovation,Germany,ABN_GLOBAL,USER_CONFIRMED_NETWORK_ACCESS,USER_MASTERLIST,file-library:Masterlist Universities.docx,,true,ACTIVE,SOUP Application Network
University of Europe for Applied Sciences,Germany,GUS|APPLYBOARD,USER_CONFIRMED_NETWORK_ACCESS,MIXED,file-library:Masterlist Universities.docx|https://www.applyboard.com/institution,,true,ACTIVE,SOUP Application Network
htk academy,Germany,GUS,USER_CONFIRMED_NETWORK_ACCESS,USER_MASTERLIST,file-library:Masterlist Universities.docx,,true,ACTIVE,SOUP Application Network
International Business School Budapest,Hungary,DIRECT_SOUP,USER_CONFIRMED_NETWORK_ACCESS,USER_MASTERLIST,file-library:Masterlist Universities.docx,,true,ACTIVE,SOUP Application Network
University of Debrecen,Hungary,ABN_GLOBAL,USER_CONFIRMED_NETWORK_ACCESS,USER_MASTERLIST,file-library:Masterlist Universities.docx,,true,ACTIVE,SOUP Application Network
Wekerle Business School,Hungary,DIRECT_SOUP,USER_CONFIRMED_NETWORK_ACCESS,USER_MASTERLIST,file-library:Masterlist Universities.docx,,true,ACTIVE,SOUP Application Network
Pearl Academy,India,GUS,USER_CONFIRMED_NETWORK_ACCESS,USER_MASTERLIST,file-library:Masterlist Universities.docx,,true,ACTIVE,SOUP Application Network
UPES,India,GUS,USER_CONFIRMED_NETWORK_ACCESS,USER_MASTERLIST,file-library:Masterlist Universities.docx,,true,ACTIVE,SOUP Application Network
Atlantic Technological University,Ireland,IEO|GUS|ABN_GLOBAL,USER_CONFIRMED_NETWORK_ACCESS,USER_MASTERLIST,file-library:Masterlist Universities.docx,,true,ACTIVE,SOUP Application Network
CCT College Dublin,Ireland,IEO|GUS|ABN_GLOBAL,USER_CONFIRMED_NETWORK_ACCESS,USER_MASTERLIST,file-library:Masterlist Universities.docx,,true,ACTIVE,SOUP Application Network
City Education Group,Ireland,IEO|GUS|ABN_GLOBAL,USER_CONFIRMED_NETWORK_ACCESS,USER_MASTERLIST,file-library:Masterlist Universities.docx,,true,ACTIVE,SOUP Application Network
Dorset College,Ireland,IEO|GUS|ABN_GLOBAL,INDIRECT_RECRUITMENT_PARTNER,MIXED,https://events.educationireland.net/|file-library:Masterlist Universities.docx,,true,ACTIVE,SOUP Application Network
Dublin Business School,Ireland,IEO|GUS|ABN_GLOBAL|APPLYBOARD,INDIRECT_RECRUITMENT_PARTNER,MIXED,https://events.educationireland.net/|file-library:Masterlist Universities.docx|https://www.applyboard.com/institution,,true,ACTIVE,SOUP Application Network
Dublin City University,Ireland,IEO|GUS|ABN_GLOBAL,INDIRECT_RECRUITMENT_PARTNER,MIXED,https://events.educationireland.net/|file-library:Masterlist Universities.docx,,true,ACTIVE,SOUP Application Network
Dublin International Foundation College,Ireland,IEO|GUS|ABN_GLOBAL,USER_CONFIRMED_NETWORK_ACCESS,USER_MASTERLIST,file-library:Masterlist Universities.docx,,true,ACTIVE,SOUP Application Network
Dundalk Institute of Technology,Ireland,IEO|GUS|ABN_GLOBAL,INDIRECT_RECRUITMENT_PARTNER,MIXED,https://events.educationireland.net/|file-library:Masterlist Universities.docx,,true,ACTIVE,SOUP Application Network
Galway Business School,Ireland,IEO|GUS|ABN_GLOBAL,USER_CONFIRMED_NETWORK_ACCESS,USER_MASTERLIST,file-library:Masterlist Universities.docx,,true,ACTIVE,SOUP Application Network
Griffith College Ireland,Ireland,IEO|GUS|ABN_GLOBAL,INDIRECT_RECRUITMENT_PARTNER,MIXED,https://events.educationireland.net/|file-library:Masterlist Universities.docx,,true,ACTIVE,SOUP Application Network
Holmes Institute Dublin,Ireland,IEO|GUS|ABN_GLOBAL,USER_CONFIRMED_NETWORK_ACCESS,USER_MASTERLIST,file-library:Masterlist Universities.docx,,true,ACTIVE,SOUP Application Network
IBAT College Dublin,Ireland,IEO|GUS|ABN_GLOBAL,USER_CONFIRMED_NETWORK_ACCESS,USER_MASTERLIST,file-library:Masterlist Universities.docx,,true,ACTIVE,SOUP Application Network
ICD Business School,Ireland,IEO|GUS|ABN_GLOBAL,USER_CONFIRMED_NETWORK_ACCESS,USER_MASTERLIST,file-library:Masterlist Universities.docx,,true,ACTIVE,SOUP Application Network
Independent College,Ireland,IEO|GUS|ABN_GLOBAL,USER_CONFIRMED_NETWORK_ACCESS,USER_MASTERLIST,file-library:Masterlist Universities.docx,,true,ACTIVE,SOUP Application Network
Maynooth University,Ireland,IEO|GUS|ABN_GLOBAL|APPLYBOARD,USER_CONFIRMED_NETWORK_ACCESS,MIXED,file-library:Masterlist Universities.docx|https://www.applyboard.com/institution,,true,ACTIVE,SOUP Application Network
Munster Technological University,Ireland,IEO|GUS|ABN_GLOBAL,USER_CONFIRMED_NETWORK_ACCESS,USER_MASTERLIST,file-library:Masterlist Universities.docx,,true,ACTIVE,SOUP Application Network
National College of Ireland,Ireland,IEO|GUS|ABN_GLOBAL,USER_CONFIRMED_NETWORK_ACCESS,USER_MASTERLIST,file-library:Masterlist Universities.docx,,true,ACTIVE,SOUP Application Network
RCSI University of Medicine and Health Sciences,Ireland,IEO|GUS|ABN_GLOBAL,USER_CONFIRMED_NETWORK_ACCESS,USER_MASTERLIST,file-library:Masterlist Universities.docx,,true,ACTIVE,SOUP Application Network
Shannon College of Hotel Management,Ireland,IEO|GUS|ABN_GLOBAL,USER_CONFIRMED_NETWORK_ACCESS,USER_MASTERLIST,file-library:Masterlist Universities.docx,,true,ACTIVE,SOUP Application Network
South East Technological University,Ireland,IEO|GUS|ABN_GLOBAL,INDIRECT_RECRUITMENT_PARTNER,MIXED,https://events.educationireland.net/|file-library:Masterlist Universities.docx,,true,ACTIVE,SOUP Application Network
Technological University Dublin,Ireland,IEO|GUS|ABN_GLOBAL,INDIRECT_RECRUITMENT_PARTNER,MIXED,https://events.educationireland.net/|file-library:Masterlist Universities.docx,,true,ACTIVE,SOUP Application Network
Technological University of the Shannon,Ireland,IEO|GUS|ABN_GLOBAL,USER_CONFIRMED_NETWORK_ACCESS,USER_MASTERLIST,file-library:Masterlist Universities.docx,,true,ACTIVE,SOUP Application Network
Trinity College Dublin,Ireland,IEO|GUS|ABN_GLOBAL|APPLYBOARD,INDIRECT_RECRUITMENT_PARTNER,MIXED,https://events.educationireland.net/|file-library:Masterlist Universities.docx|https://www.applyboard.com/institution,,true,ACTIVE,SOUP Application Network
University College Cork,Ireland,IEO|GUS|ABN_GLOBAL|APPLYBOARD,USER_CONFIRMED_NETWORK_ACCESS,MIXED,file-library:Masterlist Universities.docx|https://www.applyboard.com/institution,,true,ACTIVE,SOUP Application Network
University College Dublin,Ireland,IEO|GUS|ABN_GLOBAL,USER_CONFIRMED_NETWORK_ACCESS,USER_MASTERLIST,file-library:Masterlist Universities.docx,,true,ACTIVE,SOUP Application Network
University of Galway,Ireland,IEO|GUS|ABN_GLOBAL,USER_CONFIRMED_NETWORK_ACCESS,USER_MASTERLIST,file-library:Masterlist Universities.docx,,true,ACTIVE,SOUP Application Network
University of Limerick,Ireland,IEO|GUS|ABN_GLOBAL|APPLYBOARD,USER_CONFIRMED_NETWORK_ACCESS,MIXED,file-library:Masterlist Universities.docx|https://www.applyboard.com/institution,,true,ACTIVE,SOUP Application Network
Asia Pacific University of Technology & Innovation,Malaysia,ABN_GLOBAL,USER_CONFIRMED_NETWORK_ACCESS,USER_MASTERLIST,file-library:Masterlist Universities.docx,,true,ACTIVE,SOUP Application Network
Curtin University Malaysia,Malaysia,ABN_GLOBAL,USER_CONFIRMED_NETWORK_ACCESS,USER_MASTERLIST,file-library:Masterlist Universities.docx,,true,ACTIVE,SOUP Application Network
Heriot-Watt University Malaysia,Malaysia,ABN_GLOBAL,USER_CONFIRMED_NETWORK_ACCESS,USER_MASTERLIST,file-library:Masterlist Universities.docx,,true,ACTIVE,SOUP Application Network
Monash University Malaysia,Malaysia,ABN_GLOBAL,USER_CONFIRMED_NETWORK_ACCESS,USER_MASTERLIST,file-library:Masterlist Universities.docx,,true,ACTIVE,SOUP Application Network
Sunway University,Malaysia,ABN_GLOBAL,USER_CONFIRMED_NETWORK_ACCESS,USER_MASTERLIST,file-library:Masterlist Universities.docx,,true,ACTIVE,SOUP Application Network
Swinburne University of Technology Sarawak Campus,Malaysia,ABN_GLOBAL,USER_CONFIRMED_NETWORK_ACCESS,USER_MASTERLIST,file-library:Masterlist Universities.docx,,true,ACTIVE,SOUP Application Network
Taylor’s University,Malaysia,ABN_GLOBAL,USER_CONFIRMED_NETWORK_ACCESS,USER_MASTERLIST,file-library:Masterlist Universities.docx,,true,ACTIVE,SOUP Application Network
University of Nottingham Malaysia,Malaysia,ABN_GLOBAL,USER_CONFIRMED_NETWORK_ACCESS,USER_MASTERLIST,file-library:Masterlist Universities.docx,,true,ACTIVE,SOUP Application Network
GBS Malta,Malta,APPLYBOARD,INDIRECT_RECRUITMENT_PARTNER,PUBLIC_WEB,https://www.applyboard.com/institution,,true,ACTIVE,SOUP Application Network
Global College Malta,Malta,APPLYBOARD,INDIRECT_RECRUITMENT_PARTNER,PUBLIC_WEB,https://www.applyboard.com/institution,,true,ACTIVE,SOUP Application Network
Saint Martin's Institute of Higher Education,Malta,APPLYBOARD,INDIRECT_RECRUITMENT_PARTNER,PUBLIC_WEB,https://www.applyboard.com/institution,,true,ACTIVE,SOUP Application Network
University of Applied Sciences Europe Amsterdam,Netherlands,GUS,USER_CONFIRMED_NETWORK_ACCESS,USER_MASTERLIST,file-library:Masterlist Universities.docx,,true,ACTIVE,SOUP Application Network
Collegium Da Vinci,Poland,DIRECT_SOUP,USER_CONFIRMED_NETWORK_ACCESS,USER_MASTERLIST,file-library:Masterlist Universities.docx,,true,ACTIVE,SOUP Application Network
International European University Poland,Poland,DIRECT_SOUP,USER_CONFIRMED_NETWORK_ACCESS,USER_MASTERLIST,file-library:Masterlist Universities.docx,,true,ACTIVE,SOUP Application Network
WSEI University,Poland,LEGACY_CATALOG,LEGACY_NEEDS_CONFIRMATION,USER_OR_LEGACY,internal:replit-partnered-university-programs.csv,,false,PAUSED,Catalog - verification required
I.M. Sechenov First Moscow State Medical University,Russia,EEUA,USER_CONFIRMED_NETWORK_ACCESS,USER_MASTERLIST,file-library:Masterlist Universities.docx,,true,ACTIVE,SOUP Application Network
Kazan State Medical University,Russia,EEUA,USER_CONFIRMED_NETWORK_ACCESS,USER_MASTERLIST,file-library:Masterlist Universities.docx,,true,ACTIVE,SOUP Application Network
Lomonosov Moscow State University,Russia,EEUA,USER_CONFIRMED_NETWORK_ACCESS,USER_MASTERLIST,file-library:Masterlist Universities.docx,,true,ACTIVE,SOUP Application Network
Moscow Aviation Institute,Russia,EEUA,USER_CONFIRMED_NETWORK_ACCESS,USER_MASTERLIST,file-library:Masterlist Universities.docx,,true,ACTIVE,SOUP Application Network
Moscow Power Engineering Institute,Russia,EEUA,USER_CONFIRMED_NETWORK_ACCESS,USER_MASTERLIST,file-library:Masterlist Universities.docx,,true,ACTIVE,SOUP Application Network
National University of Science and Technology MISIS,Russia,EEUA,USER_CONFIRMED_NETWORK_ACCESS,USER_MASTERLIST,file-library:Masterlist Universities.docx,,true,ACTIVE,SOUP Application Network
Peoples’ Friendship University of Russia (RUDN),Russia,EEUA,USER_CONFIRMED_NETWORK_ACCESS,USER_MASTERLIST,file-library:Masterlist Universities.docx,,true,ACTIVE,SOUP Application Network
Pirogov Russian National Research Medical University,Russia,EEUA,USER_CONFIRMED_NETWORK_ACCESS,USER_MASTERLIST,file-library:Masterlist Universities.docx,,true,ACTIVE,SOUP Application Network
Saint Petersburg State Pediatric Medical University,Russia,EEUA,USER_CONFIRMED_NETWORK_ACCESS,USER_MASTERLIST,file-library:Masterlist Universities.docx,,true,ACTIVE,SOUP Application Network
Saint Petersburg State University,Russia,EEUA,USER_CONFIRMED_NETWORK_ACCESS,USER_MASTERLIST,file-library:Masterlist Universities.docx,,true,ACTIVE,SOUP Application Network
Siberian Federal University,Russia,EEUA,USER_CONFIRMED_NETWORK_ACCESS,USER_MASTERLIST,file-library:Masterlist Universities.docx,,true,ACTIVE,SOUP Application Network
Tomsk Polytechnic University,Russia,EEUA,USER_CONFIRMED_NETWORK_ACCESS,USER_MASTERLIST,file-library:Masterlist Universities.docx,,true,ACTIVE,SOUP Application Network
Singidunum University,Serbia,LEGACY_CATALOG,LEGACY_NEEDS_CONFIRMATION,USER_OR_LEGACY,internal:replit-partnered-university-programs.csv,,false,PAUSED,Catalog - verification required
London School of Business and Finance Singapore,Singapore,GUS,USER_CONFIRMED_NETWORK_ACCESS,USER_MASTERLIST,file-library:Masterlist Universities.docx,,true,ACTIVE,SOUP Application Network
DOBA Business School,Slovenia,LEGACY_CATALOG,LEGACY_NEEDS_CONFIRMATION,USER_OR_LEGACY,internal:replit-partnered-university-programs.csv,,false,PAUSED,Catalog - verification required
C3S Business School,Spain,APPLYBOARD,INDIRECT_RECRUITMENT_PARTNER,PUBLIC_WEB,https://www.applyboard.com/institution,,true,ACTIVE,SOUP Application Network
LCI Barcelona,Spain,APPLYBOARD,INDIRECT_RECRUITMENT_PARTNER,PUBLIC_WEB,https://www.applyboard.com/institution,,true,ACTIVE,SOUP Application Network
"UDIT, University of Design, Innovation and Technology",Spain,APPLYBOARD,INDIRECT_RECRUITMENT_PARTNER,PUBLIC_WEB,https://www.applyboard.com/institution,,true,ACTIVE,SOUP Application Network
Ajman University,United Arab Emirates,GUS|ABN_GLOBAL,USER_CONFIRMED_NETWORK_ACCESS,USER_MASTERLIST,file-library:Masterlist Universities.docx,,true,ACTIVE,SOUP Application Network
Canadian University Dubai,United Arab Emirates,GUS|ABN_GLOBAL,USER_CONFIRMED_NETWORK_ACCESS,USER_MASTERLIST,file-library:Masterlist Universities.docx,,true,ACTIVE,SOUP Application Network
Curtin University Dubai,United Arab Emirates,GUS|ABN_GLOBAL,USER_CONFIRMED_NETWORK_ACCESS,USER_MASTERLIST,file-library:Masterlist Universities.docx,,true,ACTIVE,SOUP Application Network
De Montfort University Dubai,United Arab Emirates,GUS|ABN_GLOBAL|APPLYBOARD,USER_CONFIRMED_NETWORK_ACCESS,MIXED,file-library:Masterlist Universities.docx|https://www.applyboard.com/institution,,true,ACTIVE,SOUP Application Network
Heriot-Watt University Dubai,United Arab Emirates,GUS|ABN_GLOBAL,USER_CONFIRMED_NETWORK_ACCESS,USER_MASTERLIST,file-library:Masterlist Universities.docx,,true,ACTIVE,SOUP Application Network
Murdoch University Dubai,United Arab Emirates,GUS|ABN_GLOBAL,USER_CONFIRMED_NETWORK_ACCESS,USER_MASTERLIST,file-library:Masterlist Universities.docx,,true,ACTIVE,SOUP Application Network
TETR College of Business,United Arab Emirates,APPLYBOARD,INDIRECT_RECRUITMENT_PARTNER,PUBLIC_WEB,https://www.applyboard.com/institution,,true,ACTIVE,SOUP Application Network
University of Birmingham Dubai,United Arab Emirates,GUS|ABN_GLOBAL|APPLYBOARD,USER_CONFIRMED_NETWORK_ACCESS,MIXED,file-library:Masterlist Universities.docx|https://www.applyboard.com/institution,,true,ACTIVE,SOUP Application Network
University of Europe for Applied Sciences Dubai,United Arab Emirates,GUS|ABN_GLOBAL,USER_CONFIRMED_NETWORK_ACCESS,USER_MASTERLIST,file-library:Masterlist Universities.docx,,true,ACTIVE,SOUP Application Network
University of Wollongong in Dubai,United Arab Emirates,GUS|ABN_GLOBAL,USER_CONFIRMED_NETWORK_ACCESS,USER_MASTERLIST,file-library:Masterlist Universities.docx,,true,ACTIVE,SOUP Application Network
Abertay University,United Kingdom,AHZ,INDIRECT_RECRUITMENT_PARTNER,PUBLIC_WEB,https://www.ahzassociates.com/blogs/september-intake-in-the-uk,,true,ACTIVE,SOUP Application Network
Aberystwyth University,United Kingdom,GUS|ABN_GLOBAL|AHZ|CONNECTEDHE,USER_CONFIRMED_NETWORK_ACCESS,USER_MASTERLIST,file-library:Masterlist Universities.docx,,true,ACTIVE,SOUP Application Network
Amity University London,United Kingdom,GUS|ABN_GLOBAL|AHZ|CONNECTEDHE,USER_CONFIRMED_NETWORK_ACCESS,USER_MASTERLIST,file-library:Masterlist Universities.docx,,true,ACTIVE,SOUP Application Network
Anglia Ruskin University,United Kingdom,GUS|ABN_GLOBAL|AHZ|CONNECTEDHE,USER_CONFIRMED_NETWORK_ACCESS,USER_MASTERLIST,file-library:Masterlist Universities.docx,,true,ACTIVE,SOUP Application Network
Arden University,United Kingdom,GUS|ABN_GLOBAL|AHZ|CONNECTEDHE,USER_CONFIRMED_NETWORK_ACCESS,USER_MASTERLIST,file-library:Masterlist Universities.docx,,true,ACTIVE,SOUP Application Network
