Entry #,Institution,Country,Partner Source,Source / Note
81,Loughborough University,United Kingdom,Existing Masterlist,Masterlist Universities.docx
82,Manchester Metropolitan University,United Kingdom,Existing Masterlist,Masterlist Universities.docx
83,Middlesex University,United Kingdom,Existing Masterlist,Masterlist Universities.docx
84,Northeastern University London,United Kingdom,Existing Masterlist,Masterlist Universities.docx
85,Northumbria University,United Kingdom,Existing Masterlist,Masterlist Universities.docx
86,Norwich University of the Arts,United Kingdom,Existing Masterlist,Masterlist Universities.docx
87,Nottingham Trent University,United Kingdom,Existing Masterlist,Masterlist Universities.docx
88,Oxford International Education Group (OIEG),United Kingdom,Existing Masterlist,Masterlist Universities.docx
89,Queen Mary University of London,United Kingdom,Existing Masterlist,Masterlist Universities.docx
90,Queen’s University Belfast,United Kingdom,Existing Masterlist,Masterlist Universities.docx
91,Ravensbourne University,United Kingdom,Existing Masterlist,Masterlist Universities.docx
92,Regent College London,United Kingdom,Existing Masterlist,Masterlist Universities.docx
93,Richmond American University London,United Kingdom,Existing Masterlist,Masterlist Universities.docx
94,Robert Gordon University,United Kingdom,Existing Masterlist,Masterlist Universities.docx
95,Roehampton University,United Kingdom,Existing Masterlist,Masterlist Universities.docx
96,Sheffield Hallam University,United Kingdom,Existing Masterlist,Masterlist Universities.docx
97,Solent University,United Kingdom,Existing Masterlist,Masterlist Universities.docx
98,St. George's University,United Kingdom,Existing Masterlist,Masterlist Universities.docx
99,Staffordshire University,United Kingdom,Existing Masterlist,Masterlist Universities.docx
100,Swansea University,United Kingdom,Existing Masterlist,Masterlist Universities.docx
101,Teesside University,United Kingdom,Existing Masterlist,Masterlist Universities.docx
102,The University of Law,United Kingdom,Existing Masterlist,Masterlist Universities.docx
103,Ulster University,United Kingdom,Existing Masterlist,Masterlist Universities.docx
104,University Academy 92 (UA92),United Kingdom,Existing Masterlist,Masterlist Universities.docx
105,University College Birmingham,United Kingdom,Existing Masterlist,Masterlist Universities.docx
106,University for the Creative Arts (UCA),United Kingdom,Existing Masterlist,Masterlist Universities.docx
107,University of Aberdeen,United Kingdom,Existing Masterlist,Masterlist Universities.docx
108,University of Bedfordshire,United Kingdom,Existing Masterlist,Masterlist Universities.docx
109,University of Birmingham,United Kingdom,Existing Masterlist,Masterlist Universities.docx
110,University of Bolton,United Kingdom,Existing Masterlist,Masterlist Universities.docx
111,University of Bradford,United Kingdom,Existing Masterlist,Masterlist Universities.docx
112,University of Brighton,United Kingdom,Existing Masterlist,Masterlist Universities.docx
113,University of Bristol,United Kingdom,Existing Masterlist,Masterlist Universities.docx
114,University of Buckingham,United Kingdom,Existing Masterlist,Masterlist Universities.docx
115,University of Central Lancashire (UCLan),United Kingdom,Existing Masterlist,Masterlist Universities.docx
116,University of Chester,United Kingdom,Existing Masterlist,Masterlist Universities.docx
117,University of Derby,United Kingdom,Existing Masterlist,Masterlist Universities.docx
118,University of Dundee,United Kingdom,Existing Masterlist,Masterlist Universities.docx
119,University of East Anglia (UEA),United Kingdom,Existing Masterlist,Masterlist Universities.docx
120,University of East London,United Kingdom,Existing Masterlist,Masterlist Universities.docx
121,University of Essex,United Kingdom,Existing Masterlist,Masterlist Universities.docx
122,University of Gloucestershire,United Kingdom,Existing Masterlist,Masterlist Universities.docx
123,University of Greenwich,United Kingdom,Existing Masterlist,Masterlist Universities.docx
124,University of Hertfordshire,United Kingdom,Existing Masterlist,Masterlist Universities.docx
125,University of Huddersfield,United Kingdom,Existing Masterlist,Masterlist Universities.docx
126,University of Hull,United Kingdom,Existing Masterlist,Masterlist Universities.docx
127,University of Kent,United Kingdom,Existing Masterlist,Masterlist Universities.docx
128,University of Leicester,United Kingdom,Existing Masterlist,Masterlist Universities.docx
129,University of Lincoln,United Kingdom,Existing Masterlist,Masterlist Universities.docx
130,University of Northampton,United Kingdom,Existing Masterlist,Masterlist Universities.docx
131,University of Plymouth,United Kingdom,Existing Masterlist,Masterlist Universities.docx
132,University of Portsmouth,United Kingdom,Existing Masterlist,Masterlist Universities.docx
133,University of Reading,United Kingdom,Existing Masterlist,Masterlist Universities.docx
134,University of Salford,United Kingdom,Existing Masterlist,Masterlist Universities.docx
135,University of South Wales,United Kingdom,Existing Masterlist,Masterlist Universities.docx
136,University of Stirling,United Kingdom,Existing Masterlist,Masterlist Universities.docx
137,University of Strathclyde,United Kingdom,Existing Masterlist,Masterlist Universities.docx
138,University of Suffolk,United Kingdom,Existing Masterlist,Masterlist Universities.docx
139,University of Sunderland,United Kingdom,Existing Masterlist,Masterlist Universities.docx
140,University of Surrey,United Kingdom,Existing Masterlist,Masterlist Universities.docx
141,University of Sussex,United Kingdom,Existing Masterlist,Masterlist Universities.docx
142,University of Westminster,United Kingdom,Existing Masterlist,Masterlist Universities.docx
143,University of Wolverhampton,United Kingdom,Existing Masterlist,Masterlist Universities.docx
144,University of Worcester,United Kingdom,Existing Masterlist,Masterlist Universities.docx
145,University of York,United Kingdom,Existing Masterlist,Masterlist Universities.docx
146,UWE Bristol,United Kingdom,Existing Masterlist,Masterlist Universities.docx
147,Wrexham University,United Kingdom,Existing Masterlist,Masterlist Universities.docx
148,Pirogov Russian National Research Medical University,Russia,Existing Masterlist,Masterlist Universities.docx
149,Peoples’ Friendship University (RUDN),Russia,Existing Masterlist,Masterlist Universities.docx
150,Kazan State Medical University,Russia,Existing Masterlist,Masterlist Universities.docx
151,I.M. Sechenov First Moscow State Medical University,Russia,Existing Masterlist,Masterlist Universities.docx
152,Saint-Petersburg State Pediatric Medical University,Russia,Existing Masterlist,Masterlist Universities.docx
153,Moscow Aviation Institute,Russia,Existing Masterlist,Masterlist Universities.docx
154,Moscow Power Engineering Institute,Russia,Existing Masterlist,Masterlist Universities.docx
155,National University of Science and Technology MISIS,Russia,Existing Masterlist,Masterlist Universities.docx
156,Tomsk Polytechnic University,Russia,Existing Masterlist,Masterlist Universities.docx
157,Siberian Federal University,Russia,Existing Masterlist,Masterlist Universities.docx
158,Saint Petersburg State University,Russia,Existing Masterlist,Masterlist Universities.docx
159,Lomonosov Moscow State University,Russia,Existing Masterlist,Masterlist Universities.docx
160,Gomel State Medical University,Belarus,Existing Masterlist,Masterlist Universities.docx
161,Yanka Kupala State University of Grodno,Belarus,Existing Masterlist,Masterlist Universities.docx
162,International University «MITSO»,Belarus,Existing Masterlist,Masterlist Universities.docx
163,American University,United States,Existing Masterlist,Masterlist Universities.docx
164,Auburn University,United States,Existing Masterlist,Masterlist Universities.docx
165,Baylor University,United States,Existing Masterlist,Masterlist Universities.docx
166,Colorado State University,United States,Existing Masterlist,Masterlist Universities.docx
167,Florida International University (FIU),United States,Existing Masterlist,Masterlist Universities.docx
168,George Mason University,United States,Existing Masterlist,Masterlist Universities.docx
169,Gonzaga University,United States,Existing Masterlist,Masterlist Universities.docx
170,Hofstra University,United States,Existing Masterlist,Masterlist Universities.docx
171,Illinois State University,United States,Existing Masterlist,Masterlist Universities.docx
172,Johns Hopkins University,United States,Existing Masterlist,Masterlist Universities.docx
173,Louisiana State University (LSU),United States,Existing Masterlist,Masterlist Universities.docx
174,Oregon State University,United States,Existing Masterlist,Masterlist Universities.docx
175,Pepperdine University,United States,Existing Masterlist,Masterlist Universities.docx
176,Rutgers University,United States,Existing Masterlist,Masterlist Universities.docx
177,Saint Louis University,United States,Existing Masterlist,Masterlist Universities.docx
178,University of Arizona,United States,Existing Masterlist,Masterlist Universities.docx
179,University of Central Florida,United States,Existing Masterlist,Masterlist Universities.docx
180,University of Illinois Chicago,United States,Existing Masterlist,Masterlist Universities.docx
181,University of Kansas,United States,Existing Masterlist,Masterlist Universities.docx
182,University of Massachusetts Boston,United States,Existing Masterlist,Masterlist Universities.docx
183,University of South Carolina,United States,Existing Masterlist,Masterlist Universities.docx
184,University of Utah,United States,Existing Masterlist,Masterlist Universities.docx
185,University of Wisconsin (Multiple Campuses),United States,Existing Masterlist,Masterlist Universities.docx
186,University Canada West (UCW),Canada,Existing Masterlist,Masterlist Universities.docx
187,University of Niagara Falls Canada,Canada,Existing Masterlist,Masterlist Universities.docx
188,Toronto School of Management (TSoM),Canada,Existing Masterlist,Masterlist Universities.docx
189,Canadian College of Technology and Business (CCTB),Canada,Existing Masterlist,Masterlist Universities.docx
190,Trebas Institute,Canada,Existing Masterlist,Masterlist Universities.docx
191,Niagara College – Toronto,Canada,Existing Masterlist,Masterlist Universities.docx
192,Fleming College Toronto,Canada,Existing Masterlist,Masterlist Universities.docx
193,Fraser International College (SFU Pathway),Canada,Existing Masterlist,Masterlist Universities.docx
194,International College of Manitoba (U of Manitoba Pathway),Canada,Existing Masterlist,Masterlist Universities.docx
195,Ryerson University International College (TMU Pathway),Canada,Existing Masterlist,Masterlist Universities.docx
196,Wilfrid Laurier International College,Canada,Existing Masterlist,Masterlist Universities.docx
197,Bond University,Australia,Existing Masterlist,Masterlist Universities.docx
198,Charles Darwin University,Australia,Existing Masterlist,Masterlist Universities.docx
199,CQUniversity,Australia,Existing Masterlist,Masterlist Universities.docx
200,Curtin University,Australia,Existing Masterlist,Masterlist Universities.docx
201,Deakin University,Australia,Existing Masterlist,Masterlist Universities.docx
202,Edith Cowan University,Australia,Existing Masterlist,Masterlist Universities.docx
203,Federation University,Australia,Existing Masterlist,Masterlist Universities.docx
204,Flinders University,Australia,Existing Masterlist,Masterlist Universities.docx
205,Griffith University,Australia,Existing Masterlist,Masterlist Universities.docx
206,La Trobe University,Australia,Existing Masterlist,Masterlist Universities.docx
207,Macquarie University,Australia,Existing Masterlist,Masterlist Universities.docx
208,Monash University,Australia,Existing Masterlist,Masterlist Universities.docx
209,Murdoch University,Australia,Existing Masterlist,Masterlist Universities.docx
210,Newcastle University,Australia,Existing Masterlist,Masterlist Universities.docx
211,University of Southern Queensland,Australia,Existing Masterlist,Masterlist Universities.docx
212,University of Tasmania,Australia,Existing Masterlist,Masterlist Universities.docx
213,University of Technology Sydney (UTS College),Australia,Existing Masterlist,Masterlist Universities.docx
214,Western Sydney University,Australia,Existing Masterlist,Masterlist Universities.docx
215,University of Europe for Applied Sciences - Dubai,United Arab Emirates,Existing Masterlist,Masterlist Universities.docx
216,University of Birmingham Dubai,United Arab Emirates,Existing Masterlist,Masterlist Universities.docx
217,Heriot-Watt University Dubai,United Arab Emirates,Existing Masterlist,Masterlist Universities.docx
218,University of Wollongong Dubai,United Arab Emirates,Existing Masterlist,Masterlist Universities.docx
219,Curtin University Dubai,United Arab Emirates,Existing Masterlist,Masterlist Universities.docx
220,Murdoch University Dubai,United Arab Emirates,Existing Masterlist,Masterlist Universities.docx
221,Canadian University Dubai,United Arab Emirates,Existing Masterlist,Masterlist Universities.docx
222,De Montfort University Dubai,United Arab Emirates,Existing Masterlist,Masterlist Universities.docx
223,Ajman University,United Arab Emirates,Existing Masterlist,Masterlist Universities.docx
224,Monash University Malaysia,Malaysia,Existing Masterlist,Masterlist Universities.docx
225,University of Nottingham Malaysia,Malaysia,Existing Masterlist,Masterlist Universities.docx
226,Heriot-Watt University Malaysia,Malaysia,Existing Masterlist,Masterlist Universities.docx
227,Swinburne University Malaysia,Malaysia,Existing Masterlist,Masterlist Universities.docx
228,Curtin University Malaysia,Malaysia,Existing Masterlist,Masterlist Universities.docx
229,Taylor's University,Malaysia,Existing Masterlist,Masterlist Universities.docx
230,Sunway University,Malaysia,Existing Masterlist,Masterlist Universities.docx
231,APU (Asia Pacific University),Malaysia,Existing Masterlist,Masterlist Universities.docx
232,London School of Business and Finance Singapore,Singapore,Existing Masterlist,Masterlist Universities.docx
233,UPES,India,Existing Masterlist,Masterlist Universities.docx
234,Pearl Academy,India,Existing Masterlist,Masterlist Universities.docx
235,Saba University School of Medicine,Caribbean Netherlands (Saba),Existing Masterlist,Masterlist Universities.docx
236,Medical University of the Americas,Saint Kitts and Nevis,Existing Masterlist,Masterlist Universities.docx
237,St. Matthew’s University,Cayman Islands,Existing Masterlist,Masterlist Universities.docx
238,Aberystwyth University,United Kingdom,AHZ,https://www.ahzassociates.com/kenya/universities
239,Anglia Ruskin University,United Kingdom,AHZ,https://www.ahzassociates.com/kenya/universities
240,Amity University London,United Kingdom,AHZ,https://www.ahzassociates.com/kenya/universities
241,Arden University,United Kingdom,AHZ,https://www.ahzassociates.com/kenya/universities
242,Arts University Bournemouth,United Kingdom,AHZ,https://www.ahzassociates.com/kenya/universities
243,Aston University Birmingham,United Kingdom,AHZ,https://www.ahzassociates.com/kenya/universities
244,Bangor University,United Kingdom,AHZ,https://www.ahzassociates.com/kenya/universities
245,Birkbeck University London,United Kingdom,AHZ,https://www.ahzassociates.com/kenya/universities
246,Birmingham City University,United Kingdom,AHZ,https://www.ahzassociates.com/kenya/universities
247,Bloomsbury Institute,United Kingdom,AHZ,https://www.ahzassociates.com/kenya/universities
248,BPP University,United Kingdom,AHZ,https://www.ahzassociates.com/kenya/universities
249,Brunel University London,United Kingdom,AHZ,https://www.ahzassociates.com/kenya/universities
250,Buckinghamshire New University,United Kingdom,AHZ,https://www.ahzassociates.com/kenya/universities
251,Canterbury Christ Church University,United Kingdom,AHZ,https://www.ahzassociates.com/kenya/universities
252,Cardiff Metropolitan University,United Kingdom,AHZ,https://www.ahzassociates.com/kenya/universities
253,Coventry University,United Kingdom,AHZ,https://www.ahzassociates.com/kenya/universities
254,Cranfield University,United Kingdom,AHZ,https://www.ahzassociates.com/kenya/universities
255,De Montfort University,United Kingdom,AHZ,https://www.ahzassociates.com/kenya/universities
256,Edge Hill University,United Kingdom,AHZ,https://www.ahzassociates.com/kenya/universities
257,Edinburgh Napier University,United Kingdom,AHZ,https://www.ahzassociates.com/kenya/universities
258,Falmouth University,United Kingdom,AHZ,https://www.ahzassociates.com/kenya/universities
259,Glasgow Caledonian University,United Kingdom,AHZ,https://www.ahzassociates.com/kenya/universities
260,Harper Adams University,United Kingdom,AHZ,https://www.ahzassociates.com/kenya/universities
261,Heriot-Watt University,United Kingdom,AHZ,https://www.ahzassociates.com/kenya/universities
262,Keele University,United Kingdom,AHZ,https://www.ahzassociates.com/kenya/universities
263,Kingston University,United Kingdom,AHZ,https://www.ahzassociates.com/kenya/universities
264,Lancaster University,United Kingdom,AHZ,https://www.ahzassociates.com/kenya/universities
265,Leeds Trinity University,United Kingdom,AHZ,https://www.ahzassociates.com/kenya/universities
266,Liverpool John Moores University,United Kingdom,AHZ,https://www.ahzassociates.com/kenya/universities
267,London Metropolitan University,United Kingdom,AHZ,https://www.ahzassociates.com/kenya/universities
268,London School of Business and Finance (LSBF),United Kingdom,AHZ,https://www.ahzassociates.com/kenya/universities
269,London College of Contemporary Arts (LCCA),United Kingdom,AHZ,https://www.ahzassociates.com/kenya/universities
270,London South Bank University,United Kingdom,AHZ,https://www.ahzassociates.com/kenya/universities
271,Loughborough University,United Kingdom,AHZ,https://www.ahzassociates.com/kenya/universities
272,Manchester Metropolitan University,United Kingdom,AHZ,https://www.ahzassociates.com/kenya/universities
273,Middlesex University London,United Kingdom,AHZ,https://www.ahzassociates.com/kenya/universities
274,Northeastern University London,United Kingdom,AHZ,https://www.ahzassociates.com/kenya/universities
275,Northumbria University,United Kingdom,AHZ,https://www.ahzassociates.com/kenya/universities
276,Norwich University of the Arts,United Kingdom,AHZ,https://www.ahzassociates.com/kenya/universities
277,Nottingham Trent University,United Kingdom,AHZ,https://www.ahzassociates.com/kenya/universities
278,Oxford International Education Group (OIEG),United Kingdom,AHZ,https://www.ahzassociates.com/kenya/universities
279,Queen Mary University of London,United Kingdom,AHZ,https://www.ahzassociates.com/kenya/universities
280,Queen’s University Belfast,United Kingdom,AHZ,https://www.ahzassociates.com/kenya/universities
281,Ravensbourne University London,United Kingdom,AHZ,https://www.ahzassociates.com/kenya/universities
282,Regent College London,United Kingdom,AHZ,https://www.ahzassociates.com/kenya/universities
283,Richmond American University London,United Kingdom,AHZ,https://www.ahzassociates.com/kenya/universities
284,Robert Gordon University,United Kingdom,AHZ,https://www.ahzassociates.com/kenya/universities
285,University of Roehampton,United Kingdom,AHZ,https://www.ahzassociates.com/kenya/universities
286,Sheffield Hallam University,United Kingdom,AHZ,https://www.ahzassociates.com/kenya/universities
287,Solent University,United Kingdom,AHZ,https://www.ahzassociates.com/kenya/universities
288,St. George's University,United Kingdom,AHZ,https://www.ahzassociates.com/kenya/universities
289,Staffordshire University,United Kingdom,AHZ,https://www.ahzassociates.com/kenya/universities
290,Swansea University,United Kingdom,AHZ,https://www.ahzassociates.com/kenya/universities
291,Teesside University,United Kingdom,AHZ,https://www.ahzassociates.com/kenya/universities
292,The University of Law,United Kingdom,AHZ,https://www.ahzassociates.com/kenya/universities
293,Ulster University,United Kingdom,AHZ,https://www.ahzassociates.com/kenya/universities
294,University Academy 92 (UA92),United Kingdom,AHZ,https://www.ahzassociates.com/kenya/universities
295,University College Birmingham,United Kingdom,AHZ,https://www.ahzassociates.com/kenya/universities
296,University for the Creative Arts (UCA),United Kingdom,AHZ,https://www.ahzassociates.com/kenya/universities
297,University of Aberdeen,United Kingdom,AHZ,https://www.ahzassociates.com/kenya/universities
298,University of Bedfordshire,United Kingdom,AHZ,https://www.ahzassociates.com/kenya/universities
299,University of Birmingham,United Kingdom,AHZ,https://www.ahzassociates.com/kenya/universities
300,University of Bolton,United Kingdom,AHZ,https://www.ahzassociates.com/kenya/universities
301,University of Bradford,United Kingdom,AHZ,https://www.ahzassociates.com/kenya/universities
302,University of Brighton,United Kingdom,AHZ,https://www.ahzassociates.com/kenya/universities
303,University of Bristol,United Kingdom,AHZ,https://www.ahzassociates.com/kenya/universities
304,University of Buckingham,United Kingdom,AHZ,https://www.ahzassociates.com/kenya/universities
305,University of Central Lancashire (UCLan),United Kingdom,AHZ,https://www.ahzassociates.com/kenya/universities
306,University of Chester,United Kingdom,AHZ,https://www.ahzassociates.com/kenya/universities
307,University of Derby,United Kingdom,AHZ,https://www.ahzassociates.com/kenya/universities
308,University of Dundee,United Kingdom,AHZ,https://www.ahzassociates.com/kenya/universities
309,University of East Anglia (UEA),United Kingdom,AHZ,https://www.ahzassociates.com/kenya/universities
310,University of East London,United Kingdom,AHZ,https://www.ahzassociates.com/kenya/universities
311,University of Essex,United Kingdom,AHZ,https://www.ahzassociates.com/kenya/universities
312,University of Gloucestershire,United Kingdom,AHZ,https://www.ahzassociates.com/kenya/universities
313,University of Greenwich,United Kingdom,AHZ,https://www.ahzassociates.com/kenya/universities
314,University of Hertfordshire,United Kingdom,AHZ,https://www.ahzassociates.com/kenya/universities
315,University of Huddersfield,United Kingdom,AHZ,https://www.ahzassociates.com/kenya/universities
316,University of Hull,United Kingdom,AHZ,https://www.ahzassociates.com/kenya/universities
317,University of Kent,United Kingdom,AHZ,https://www.ahzassociates.com/kenya/universities
318,University of Leicester,United Kingdom,AHZ,https://www.ahzassociates.com/kenya/universities
319,University of Lincoln,United Kingdom,AHZ,https://www.ahzassociates.com/kenya/universities
320,University of Northampton,United Kingdom,AHZ,https://www.ahzassociates.com/kenya/universities
321,University of Plymouth,United Kingdom,AHZ,https://www.ahzassociates.com/kenya/universities
322,University of Portsmouth,United Kingdom,AHZ,https://www.ahzassociates.com/kenya/universities
323,University of Reading,United Kingdom,AHZ,https://www.ahzassociates.com/kenya/universities
324,University of Salford,United Kingdom,AHZ,https://www.ahzassociates.com/kenya/universities
325,University of South Wales,United Kingdom,AHZ,https://www.ahzassociates.com/kenya/universities
326,University of Stirling,United Kingdom,AHZ,https://www.ahzassociates.com/kenya/universities
327,University of Strathclyde,United Kingdom,AHZ,https://www.ahzassociates.com/kenya/universities
328,University of Suffolk,United Kingdom,AHZ,https://www.ahzassociates.com/kenya/universities
329,University of Sunderland,United Kingdom,AHZ,https://www.ahzassociates.com/kenya/universities
330,University of Surrey,United Kingdom,AHZ,https://www.ahzassociates.com/kenya/universities
331,University of Sussex,United Kingdom,AHZ,https://www.ahzassociates.com/kenya/universities
332,University of Westminster,United Kingdom,AHZ,https://www.ahzassociates.com/kenya/universities
333,University of Wolverhampton,United Kingdom,AHZ,https://www.ahzassociates.com/kenya/universities
334,University of Worcester,United Kingdom,AHZ,https://www.ahzassociates.com/kenya/universities
335,University of York,United Kingdom,AHZ,https://www.ahzassociates.com/kenya/universities
336,UWE Bristol,United Kingdom,AHZ,https://www.ahzassociates.com/kenya/universities
337,Wrexham University,United Kingdom,AHZ,https://www.ahzassociates.com/kenya/universities
338,Abertay University,United Kingdom,AHZ,https://www.ahzassociates.com/kenya/universities
339,Bath Spa University,United Kingdom,AHZ,https://www.ahzassociates.com/kenya/universities
340,Birmingham Newman University,United Kingdom,AHZ,https://www.ahzassociates.com/kenya/universities
341,Bishop Grosseteste University,United Kingdom,AHZ,https://www.ahzassociates.com/kenya/universities
342,Bournemouth University,United Kingdom,AHZ,https://www.ahzassociates.com/kenya/universities
343,Cardiff University,United Kingdom,AHZ,https://www.ahzassociates.com/kenya/universities
344,City University of London,United Kingdom,AHZ,https://www.ahzassociates.com/kenya/universities
345,Durham University,United Kingdom,AHZ,https://www.ahzassociates.com/kenya/universities
346,Goldsmiths University of London,United Kingdom,AHZ,https://www.ahzassociates.com/kenya/universities
347,Leeds Beckett University,United Kingdom,AHZ,https://www.ahzassociates.com/kenya/universities
348,Oxford Brookes University,United Kingdom,AHZ,https://www.ahzassociates.com/kenya/universities
349,"Royal Holloway, University of London",United Kingdom,AHZ,https://www.ahzassociates.com/kenya/universities
350,University of Bath,United Kingdom,AHZ,https://www.ahzassociates.com/kenya/universities
351,University of Liverpool,United Kingdom,AHZ,https://www.ahzassociates.com/kenya/universities
352,University of Southampton,United Kingdom,AHZ,https://www.ahzassociates.com/kenya/universities
353,University of Winchester,United Kingdom,AHZ,https://www.ahzassociates.com/kenya/universities
354,University of West London,United Kingdom,AHZ,https://www.ahzassociates.com/kenya/universities
355,University of the West of Scotland,United Kingdom,AHZ,https://www.ahzassociates.com/kenya/universities
